Timestamp	Tracking number	DOI	Notification	Year	Journal	Title	Completed	Curator	Time required	Comments	Segmentation time	Tagging time	total images	total panels	annotated images	annotated panels	total tags										
2.8.2018 14:31:09	EMBOR-2016-43841V1	10.15252/embr.201643841	08.02.18	2017	EMBO Reports	Shigella hijacks the glomulin-cIAPs-inflammasome axis to promote inflammation	21.02.18	Emmanuel	3:00:00																		
2.8.2018 16:15:34	MSB-17-7697	10.15252/msb.20177697	08.02.18	2017	Molecular Systems Biology	Screening drug effects in patient-derived cancer cells links organoid responses to genome alterations	21.02.18	Emmanuel	3:45:00																		
2.22.2018 11:05:06	EMBOJ-2016-95841	10.15252/embj.201695841	22.02.18	2017	EMBO Journal	High capacity of the endoplasmic reticulum to prevent secretion and aggregation of amyloidogenic proteins	22.02.18	Emmanuel	2:30:00																		
2.22.2018 11:24:20	EMBOJ-2017-96881	10.15252/embj.201796881	22.02.18	2017	EMBO Journal	Regulatory T cells constrain the TCR repertoire of antigen-stimulated conventional CD4 T cells	23.02.18	Emmanuel	3:45:00																		
2.22.2018 11:50:56	EMBOJ-2017-97021	10.15252/embj.201797021	22.02.18	2017	EMBO Journal	Seed-induced A§ deposition is modulated by microglia under environmental enrichment	26.02.18	Emmanuel	4:30:00																		
2.22.2018 12:17:45	EMBOJ-2017-97103	10.15252/embj.201797103	22.02.18	2017	EMBO Journal	Cryo-EM reconstruction of Type VI secretion system baseplate and sheath distal end	27.02.18	Emmanuel	1:20:00																		
2.27.2018 12:37:47	EMBOJ-2017-97359	10.15252/embj.201797359	27.02.18	2017	EMBO Journal	Ca2+ releases E-Syt1 autoinhibition to couple ER-plasma membrane tethering with lipid transport	28.02.18	Emmanuel	3:15:00																		
3.1.2018 9:19:15	EMBOJ-2017-97212	10.15252/embj.201797212	01.03.18	2017	EMBO Journal	Complete suppression of Htt fibrilization and disaggregation of Htt fibrils by a chaperone complex	05.03.18	Emmanuel	5:50:00																		
3.1.2018 10:30:30	EMBOJ-2017-97159	10.15252/embj.201797159	01.03.18	2017	EMBO Journal	The Arabidopsis ALF4 Protein is a Regulator of SCF E3 Ligases	02.03.18	Emmanuel	3:50:00																		
3.1.2018 11:21:16	EMBOJ-2017-97651	10.15252/embj.201797651	01.03.18	2017	EMBO Journal	OxyS small RNA induces cell cycle arrest to allow DNA damage repair	06.03.18	Emmanuel	2:00:00																		
3.1.2018 11:37:31	EMBOJ-2017-97674	10.15252/embj.201797674	01.03.18	2017	EMBO Journal	Glycosphingolipid Metabolic Reprogramming Drives Neural Differentiation	07.03.18	Emmanuel	5:40:00																		
3.1.2018 15:16:50	EMBOJ-2017-98004	10.15252/embj.201798004	01.03.18	2017	EMBO Journal	Topologically Associating Domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL and PDS5 proteins	09.03.18	Emmanuel	5:30:00																		
3.1.2018 16:09:10	EMBOJ-2017-98083	10.15252/embj.201798083	01.03.18	2017	EMBO Journal	A Mechanism of Cohesin-Dependent Loop Extrusion Organizes Zygotic Genome Architecture	09.03.18	Emmanuel	2:50:00	fig. 5 and 6 missing legends																	
3.1.2018 17:00:52	EMBOJ-2017-98134	10.15252/embj.201798134	01.03.18	2017	EMBO Journal	Structural Basis for Assembly of the CBF3 Kinetochore Complex	12.03.18	Emmanuel	2:10:00																		
3.1.2018 17:19:33	EMBOR-2017-44046V1	10.15252/embr.201744046	01.03.18	2017	EMBO Reports	E2F1 interacts with BCL-xL and regulates its subcellular localization	12.03.18	Emmanuel	2:20:00																		
3.1.2018 17:29:42	EMBOR-2017-44188V1	10.15252/embr.201744188	01.03.18	2017	EMBO Reports	The tumor suppressor Brat controls neural stem cell lineages by inhibiting Deadpan and Zelda	13.03.18	Emmanuel	4:20:00																		
3.1.2018 18:09:56	EMBOR-2017-44250V1	10.15252/embr.201744250	01.03.18	2017	EMBO Reports	Smad3-mediated recruitment of the methyltransferase SETDB1/ESET controls Snail1 expression and epithelial-mesenchymal transition	14.03.18	Emmanuel	7:10:00																		
3.14.2018 15:51:27	EMBOR-2017-44416V1	10.15252/embr.201744416	14.03.18	2017	EMBO Reports	Type VI Secretion System sheath inter-subunit interactions modulate its contraction	15.03.18	Emmanuel	1:45:00																		
3.14.2018 16:35:55	EMBOR-2017-45302V1	10.15252/embr.201745302	14.03.18	2017	EMBO Reports	The bright and the dark side of human antibody responses to flaviviruses: lessons for vaccine design	15.03.18	Emmanuel	0:30:00																		
3.14.2018 16:46:32	EMM-2017-08168	10.15252/emmm.201708168	14.03.18	2017	EMBO Molecular Medicine	Thrombopoietin mutation in congenital amegakaryocytic thrombocytopenia treatable with romiplostim	15.03.18	Emmanuel	1:00:00																		
3.14.2018 16:55:49	EMM-2016-06261	10.15252/emmm.201606261	14.03.18	2017	EMBO Molecular Medicine	FoxO3 an important player in fibrogenesis and therapeutic target for idiopathic pulmonary fibrosis	19.03.18	Emmanuel	4:55:00																		
3.15.2018 10:19:17	EMM-2017-08076	10.15252/emmm.201708076	15.03.18	2017	EMBO Molecular Medicine	Oligoclonal Antibody Durably Overcomes Resistance of Lung Cancer to Third Generation EGFR Inhibitors	20.03.18	Emmanuel	4:00:00																		
3.15.2018 10:43:03	EMM-2016-07284P	10.15252/emmm.201607284	15.03.18	2017	EMBO Molecular Medicine	Reversible Immortalisation Enables Genetic Correction of Human Muscle Progenitors and Engineering of Next-Generation Human Artificial Chromosomes for Duchenne Muscular Dystrophy	22.03.18	Emmanuel	6:30:00																		
3.22.2018 14:57:52	EMM-2016-07502	10.15252/emmm.201707502	22.03.18	2017	EMBO Molecular Medicine	The chemokine receptor CX3CR1 coordinates monocyte recruitment and endothelial regeneration after arterial injury	26.03.18	Emmanuel	3:00:00																		
3.22.2018 15:23:13	EMM-2017-07988	10.15252/emmm.201707988	22.03.18	2017	EMBO Molecular Medicine	Allele-specific silencing therapy for dynamin 2-related dominant centronuclear myopathy	27.03.18	Emmanuel	2:30:00																		
3.22.2018 15:44:56	MSB-17-7908	10.15252/msb.20177908	22.03.18	2017	Molecular Systems Biology	A framework for exhaustively mapping functional missense variants	27.03.18	Emmanuel	0:45:00																		
